split,review_fraction,analysis_type,metric,point,ci_low,ci_high,bootstrap_repeats,bootstrap_valid_repeats
temporal_latest20,0.1,topk_prediction,random_reviews_for_same_true_high_carbon_capture,7636.793103448276,7394.949820395029,7881.45891838121,1000,1000
temporal_latest20,0.1,topk_prediction,review_savings_vs_random,6673.793103448276,6431.949820395029,6918.45891838121,1000,1000
temporal_latest20,0.1,topk_prediction,review_savings_fraction_vs_random,0.873899948976597,0.8697759925523336,0.8778144997632261,1000,1000
temporal_latest20,0.1,topk_prediction,roc_auc,0.9650455540712606,0.9584786103612178,0.9704941356385836,1000,1000
temporal_latest20,0.1,topk_prediction,average_precision,0.8102209762336766,0.7841773199412126,0.8333570877473422,1000,1000
temporal_latest20,0.1,procurement_opportunity,captured_high_carbon_with_comparable_group,640.0,611.975,671.0,1000,1000
temporal_latest20,0.1,procurement_opportunity,comparable_group_coverage_true_high_carbon,0.9937888198757764,0.9864442452107979,0.9984825493171472,1000,1000
temporal_latest20,0.1,procurement_opportunity,median_relative_reduction_to_p25_true_high_carbon,0.32842770749914363,0.318407960199005,0.3460199004975124,1000,1000
temporal_latest20,0.1,procurement_opportunity,median_absolute_reduction_to_p25_true_high_carbon,55.90625,52.33333333333333,59.33333333333333,1000,1000
temporal_latest20,0.1,procurement_opportunity,share_true_high_carbon_with_10pct_opportunity,0.8515625,0.8227035628224253,0.8774021784635626,1000,1000
temporal_latest20,0.1,procurement_opportunity,share_true_high_carbon_with_20pct_opportunity,0.7671875,0.7332240303830163,0.8000078616352202,1000,1000
temporal_latest20,0.2,topk_prediction,n_test,9629.0,9629.0,9629.0,1000,1000
temporal_latest20,0.2,topk_prediction,reviewed_count,1926.0,1926.0,1926.0,1000,1000
temporal_latest20,0.2,topk_prediction,true_high_carbon_total,812.0,759.0,865.0,1000,1000
temporal_latest20,0.2,topk_prediction,true_high_carbon_captured,756.0,706.975,805.025,1000,1000
temporal_latest20,0.2,topk_prediction,false_positive_reviews,1170.0,1120.975,1219.025,1000,1000
temporal_latest20,0.2,topk_prediction,base_positive_rate,0.08432859071554678,0.07882438467130543,0.08983279675978814,1000,1000
temporal_latest20,0.2,topk_prediction,topk_precision,0.3925233644859813,0.36706905503634474,0.4179776739356178,1000,1000
temporal_latest20,0.2,topk_prediction,topk_recall_capture,0.9310344827586207,0.913790002480774,0.9479095486846439,1000,1000
temporal_latest20,0.2,topk_prediction,topk_lift,4.654689010634869,4.56847556276603,4.739055578548514,1000,1000
temporal_latest20,0.2,topk_prediction,reviews_per_true_high_carbon,2.5476190476190474,2.3924723733489515,2.724283169919582,1000,1000
temporal_latest20,0.2,topk_prediction,random_reviews_per_true_high_carbon,11.858374384236454,11.131791907514451,12.686429512516469,1000,1000
temporal_latest20,0.2,topk_prediction,random_reviews_for_same_true_high_carbon_capture,8964.931034482759,8798.883933887373,9127.421044284436,1000,1000
temporal_latest20,0.2,topk_prediction,review_savings_vs_random,7038.931034482759,6872.883933887374,7201.421044284436,1000,1000
temporal_latest20,0.2,topk_prediction,review_savings_fraction_vs_random,0.7851628760342022,0.7811086024845186,0.7889874923284902,1000,1000
temporal_latest20,0.2,topk_prediction,roc_auc,0.9650455540712606,0.9584177713341802,0.9702327086169946,1000,1000
temporal_latest20,0.2,topk_prediction,average_precision,0.8102209762336766,0.7857722043375969,0.8331027866846453,1000,1000
temporal_latest20,0.2,procurement_opportunity,captured_high_carbon_with_comparable_group,752.0,709.0,793.0,1000,1000
temporal_latest20,0.2,procurement_opportunity,comparable_group_coverage_true_high_carbon,0.9947089947089947,0.9885200416373445,0.9987115054189797,1000,1000
temporal_latest20,0.2,procurement_opportunity,median_relative_reduction_to_p25_true_high_carbon,0.3271604938271604,0.31800303692455834,0.34121148459383754,1000,1000
temporal_latest20,0.2,procurement_opportunity,median_absolute_reduction_to_p25_true_high_carbon,53.33333333333333,49.142321428571414,57.03203125,1000,1000
temporal_latest20,0.2,procurement_opportunity,share_true_high_carbon_with_10pct_opportunity,0.8696808510638298,0.8462642212057236,0.8942071307300509,1000,1000
temporal_latest20,0.2,procurement_opportunity,share_true_high_carbon_with_20pct_opportunity,0.788563829787234,0.758328804347826,0.8171227145307728,1000,1000
