split,review_fraction,resampling,resampling_unit,n_units,metric,point_estimate,ci_low,ci_high,ci_width
group_company,0.1,row_level,row,9825,capture,0.6991150442477876,0.6766722412807318,0.7200439334946859,0.043371692213954094
group_company,0.1,row_level,row,9825,precision,0.8036622583926755,0.7639877924720244,0.8423194303153612,0.07833163784333674
group_company,0.1,row_level,row,9825,median_relative_reduction_to_p25_true_high_carbon,0.17676767676767674,0.16624589988097555,0.18468773270251593,0.018441832821540383
group_company,0.1,row_level,row,9825,share_true_high_carbon_with_10pct_opportunity,0.7859872611464969,0.749333451918611,0.8258657001498421,0.07653224823123106
group_company,0.1,row_level,row,9825,share_true_high_carbon_with_20pct_opportunity,0.3681528662420382,0.3205112219451372,0.4188459309010079,0.09833470895587071
group_company,0.1,cluster_company,company,17,capture,0.6991150442477876,0.6735423974147878,0.9477740607308286,0.27423166331604076
group_company,0.1,cluster_company,company,17,precision,0.8036622583926755,0.33650406504065045,0.8606248323947439,0.5241207673540934
group_company,0.1,cluster_company,company,17,median_relative_reduction_to_p25_true_high_carbon,0.17676767676767674,0.05357478273058582,0.2613841634114583,0.20780938068087249
group_company,0.1,cluster_company,company,17,share_true_high_carbon_with_10pct_opportunity,0.7859872611464969,0.4056540030596635,0.8273540198132978,0.42170001675363433
group_company,0.1,cluster_company,company,17,share_true_high_carbon_with_20pct_opportunity,0.3681528662420382,0.324997009569378,0.6197991226044792,0.29480211303510123
group_company,0.1,cluster_plant,plant,61,capture,0.6991150442477876,0.5813877973454324,0.8116688989766129,0.23028110163118043
group_company,0.1,cluster_plant,plant,61,precision,0.8036622583926755,0.7001757479240133,0.8599429550238737,0.15976720709986048
group_company,0.1,cluster_plant,plant,61,median_relative_reduction_to_p25_true_high_carbon,0.17676767676767674,0.1633165829145728,0.20224208263823448,0.03892549972366169
group_company,0.1,cluster_plant,plant,61,share_true_high_carbon_with_10pct_opportunity,0.7859872611464969,0.7134367711185478,0.8370047282637991,0.12356795714525137
group_company,0.1,cluster_plant,plant,61,share_true_high_carbon_with_20pct_opportunity,0.3681528662420382,0.2858407071891882,0.5061029016762298,0.22026219448704165
group_company,0.1,cluster_source,source,20,capture,0.6991150442477876,0.6751745909472083,0.95,0.2748254090527916
