split,resampling,resampling_unit,n_units,metric,point_estimate,ci_low,ci_high,ci_width,n_test,prevalence,n_companies,n_plants,n_sources
group_company,cluster_company,company,17,top_20pct_median_opportunity,0.18574324324324318,0.12676056338028185,0.2717265353418309,0.14496597196154903,9825,0.11501272264631043,17,61,20
group_company,cluster_company,company,17,top_20pct_share_opportunity_ge_10,0.813265306122449,0.5260371767241379,0.8396587038571297,0.31362152713299185,9825,0.11501272264631043,17,61,20
group_company,cluster_plant,plant,61,top_10pct_capture,0.6991150442477876,0.583760683991062,0.8064972071256038,0.22273652313454184,9825,0.11501272264631043,17,61,20
group_company,cluster_plant,plant,61,top_10pct_precision,0.8044806517311609,0.7038657953096896,0.8597368768465662,0.15587108153687657,9825,0.11501272264631043,17,61,20
group_company,cluster_plant,plant,61,top_10pct_lift,6.994710091379341,5.838144835746074,8.065018172015183,2.226873336269109,9825,0.11501272264631043,17,61,20
group_company,cluster_plant,plant,61,top_10pct_review_saving,0.85703481817889,0.8287127101265735,0.8760077179611875,0.047295007834613934,9825,0.11501272264631043,17,61,20
group_company,cluster_plant,plant,61,top_10pct_median_opportunity,0.17676767676767663,0.1597938144329896,0.19825708061002167,0.03846326617703208,9825,0.11501272264631043,17,61,20
group_company,cluster_plant,plant,61,top_10pct_share_opportunity_ge_10,0.7834394904458599,0.7084262408485618,0.8414330048031938,0.13300676395463207,9825,0.11501272264631043,17,61,20
group_company,cluster_plant,plant,61,top_20pct_capture,0.8716814159292036,0.8078868783266286,0.9352135476134212,0.1273266692867926,9825,0.11501272264631043,17,61,20
group_company,cluster_plant,plant,61,top_20pct_precision,0.5012722646310432,0.4085673330601593,0.5899706439393939,0.1814033108792346,9825,0.11501272264631043,17,61,20
group_company,cluster_plant,plant,61,top_20pct_lift,4.3584070796460175,4.039016514011589,4.676067738067107,0.6370512240555177,9825,0.11501272264631043,17,61,20
group_company,cluster_plant,plant,61,top_20pct_review_saving,0.7705583756345178,0.7524149752573713,0.7861450982767498,0.0337301230193785,9825,0.11501272264631043,17,61,20
group_company,cluster_plant,plant,61,top_20pct_median_opportunity,0.18574324324324318,0.16620498614958448,0.22453423566878972,0.058329249519205234,9825,0.11501272264631043,17,61,20
group_company,cluster_plant,plant,61,top_20pct_share_opportunity_ge_10,0.813265306122449,0.7420900518234429,0.8739048902044121,0.1318148383809692,9825,0.11501272264631043,17,61,20
group_company,cluster_source,source,20,top_10pct_capture,0.6991150442477876,0.6727882003638727,0.9477175245098038,0.2749293241459312,9825,0.11501272264631043,17,61,20
group_company,cluster_source,source,20,top_10pct_precision,0.8044806517311609,0.3725120236773955,0.8638184881001477,0.4913064644227522,9825,0.11501272264631043,17,61,20
group_company,cluster_source,source,20,top_10pct_lift,6.994710091379341,6.7278629561303465,9.471338762626264,2.7434758064959173,9825,0.11501272264631043,17,61,20
group_company,cluster_source,source,20,top_10pct_review_saving,0.85703481817889,0.8513643920176048,0.8944183032026446,0.04305391118503976,9825,0.11501272264631043,17,61,20
group_company,cluster_source,source,20,top_10pct_median_opportunity,0.17676767676767663,0.08726415094339629,0.22486717959402305,0.13760302865062676,9825,0.11501272264631043,17,61,20
group_company,cluster_source,source,20,top_10pct_share_opportunity_ge_10,0.7834394904458599,0.48269623411978224,0.8178912614767878,0.33519502735700557,9825,0.11501272264631043,17,61,20
group_company,cluster_source,source,20,top_20pct_capture,0.8716814159292036,0.8540747900448429,0.992708386504007,0.13863359645916407,9825,0.11501272264631043,17,61,20
group_company,cluster_source,source,20,top_20pct_precision,0.5012722646310432,0.20342742844264142,0.543369118622961,0.3399416901803196,9825,0.11501272264631043,17,61,20
group_company,cluster_source,source,20,top_20pct_lift,4.3584070796460175,4.270308682200584,4.965038462483719,0.6947297802831347,9825,0.11501272264631043,17,61,20
group_company,cluster_source,source,20,top_20pct_review_saving,0.7705583756345178,0.7658248912463919,0.798591691167059,0.03276679992066711,9825,0.11501272264631043,17,61,20
group_company,cluster_source,source,20,top_20pct_median_opportunity,0.18574324324324318,0.1334761124705819,0.27317073170731715,0.13969461923673526,9825,0.11501272264631043,17,61,20
group_company,cluster_source,source,20,top_20pct_share_opportunity_ge_10,0.813265306122449,0.5333333333333333,0.8378389908680011,0.30450565753466774,9825,0.11501272264631043,17,61,20
group_company,block_issue_quarter,issue_block,12,top_10pct_capture,0.6991150442477876,0.6847042177462339,0.9019661125319693,0.21726189478573543,9825,0.11501272264631043,17,61,20
group_company,block_issue_quarter,issue_block,12,top_10pct_precision,0.8044806517311609,0.3458628770580459,0.8812295455486971,0.5353666684906513,9825,0.11501272264631043,17,61,20
group_company,block_issue_quarter,issue_block,12,top_10pct_lift,6.994710091379341,6.847122070324859,8.999955705321456,2.152833634996597,9825,0.11501272264631043,17,61,20
group_company,block_issue_quarter,issue_block,12,top_10pct_review_saving,0.85703481817889,0.8539532390788045,0.8888883415160087,0.03493510243720421,9825,0.11501272264631043,17,61,20
group_company,block_issue_quarter,issue_block,12,top_10pct_median_opportunity,0.17676767676767663,0.06633905902887968,0.27340936807095345,0.20707030904207377,9825,0.11501272264631043,17,61,20
