row_index,y_true,model_probability,base_positive_rate,Company,Plant,Plant Location - State,U.S. Region of Plant,application_family,strength_psi,strength_bin_500,curing_days,curing_family,gwp_per_ksi,reference_group_type,reference_group_n,reference_p25_gwp_per_ksi,reference_p10_gwp_per_ksi,absolute_reduction_to_p25,relative_reduction_to_p25,absolute_reduction_to_p10,relative_reduction_to_p10,has_comparable_alternative_group,has_10pct_reduction_opportunity,has_20pct_reduction_opportunity
4614,0,0.4110070997041603,0.08432859071554678,Cape Cod Ready Mix,Dennis Plant,MA,Eastern Region,other_or_unspecified,3000.0,3000,28.0,standard_28,108.33333333333333,strict_group,295.0,91.33333333333333,79.06666666666668,17.0,0.15692307692307694,29.26666666666665,0.270153846153846,True,True,False
4615,0,0.4110070997041603,0.08432859071554678,Cape Cod Ready Mix,Dennis Plant,MA,Eastern Region,other_or_unspecified,3000.0,3000,28.0,standard_28,111.33333333333333,strict_group,295.0,91.33333333333333,79.06666666666668,20.0,0.17964071856287425,32.26666666666665,0.289820359281437,True,True,False
4687,0,0.4110070997041603,0.08432859071554678,Cape Cod Ready Mix,Sandwich Plant,MA,Eastern Region,other_or_unspecified,3000.0,3000,28.0,standard_28,110.0,strict_group,295.0,91.33333333333333,79.06666666666668,18.66666666666667,0.16969696969696973,30.933333333333323,0.28121212121212114,True,True,False
4688,0,0.4110070997041603,0.08432859071554678,Cape Cod Ready Mix,Sandwich Plant,MA,Eastern Region,other_or_unspecified,3000.0,3000,28.0,standard_28,113.33333333333333,strict_group,295.0,91.33333333333333,79.06666666666668,22.0,0.19411764705882353,34.26666666666665,0.3023529411764705,True,True,False
9305,0,0.4104329677892426,0.08432859071554678,CEMEX,Lecanto East Plant,FL,Southeastern Region,other_or_unspecified,3000.0,3000,28.0,standard_28,111.0,strict_group,701.0,91.66666666666667,82.66666666666667,19.33333333333333,0.17417417417417413,28.33333333333333,0.2552552552552552,True,True,False
15154,0,0.4094175361182051,0.08432859071554678,CEMEX,Sweetwater Plant,FL,Southeastern Region,filler,4000.0,4000,28.0,standard_28,94.25,strict_group,36.0,95.0,86.75,0.0,0.0,7.5,0.07957559681697612,True,False,False
4632,1,0.4076235924989578,0.08432859071554678,Cape Cod Ready Mix,Orleans Plant,MA,Eastern Region,hardscape,3500.0,3500,28.0,standard_28,125.71428571428571,national_spec_group,17.0,84.85714285714286,81.82857142857144,40.85714285714285,0.32499999999999996,43.88571428571427,0.349090909090909,True,True,True
7225,0,0.4072722919249247,0.08432859071554678,CEMEX,Dawsonville - Easy Street Plant,GA,Southeastern Region,other_or_unspecified,3000.0,3000,28.0,standard_28,103.0,strict_group,701.0,91.66666666666667,82.66666666666667,11.333333333333329,0.11003236245954688,20.33333333333333,0.1974110032362459,True,True,False
33559,0,0.4068998836997239,0.08432859071554678,Knife River Corporation,Corvallis (Oregon) Plant,OR,Pacific Northwest Region,other_or_unspecified,3000.0,3000,28.0,standard_28,118.66666666666667,strict_group,395.0,71.0,64.13333333333334,47.66666666666667,0.401685393258427,54.53333333333333,0.4595505617977528,True,True,True
33596,0,0.4068998836997239,0.08432859071554678,Knife River Corporation,Eugene (Oregon) Plant,OR,Pacific Northwest Region,other_or_unspecified,3000.0,3000,28.0,standard_28,113.33333333333333,strict_group,395.0,71.0,64.13333333333334,42.33333333333333,0.37352941176470583,49.19999999999999,0.43411764705882344,True,True,True
33952,0,0.4068760428991128,0.08432859071554678,Knife River Corporation,Wheatland (Oregon) Plant,OR,Pacific Northwest Region,other_or_unspecified,3000.0,3000,28.0,standard_28,123.33333333333333,strict_group,395.0,71.0,64.13333333333334,52.33333333333333,0.4243243243243243,59.19999999999999,0.4799999999999999,True,True,True
11730,0,0.4025622261095932,0.08432859071554678,CEMEX,Orlando (Atlanta Ave) Plant,FL,Southeastern Region,other_or_unspecified,3000.0,3000,28.0,standard_28,114.0,strict_group,701.0,91.66666666666667,82.66666666666667,22.33333333333333,0.19590643274853797,31.33333333333333,0.27485380116959063,True,True,False
6519,0,0.401555703906455,0.08432859071554678,CEMEX,Columbus - Smith Rd (Vulcan Quarry) Plant,GA,Southeastern Region,other_or_unspecified,3750.0,4000,2.0,early,118.13333333333334,strict_group,6.0,103.46666666666667,101.86666666666667,14.666666666666671,0.12415349887133185,16.266666666666666,0.13769751693002255,True,True,False
964,0,0.4014078770047392,0.08432859071554678,Amrize,Metairie Plant,LA,South Central Region,other_or_unspecified,4000.0,4000,1.0,early,97.75,strict_group,5.0,86.0,84.2,11.75,0.12020460358056266,13.549999999999997,0.13861892583120203,True,True,False
